Scaffold	Scaffold_Size	Chr	Start	End
scaffold_718	10912	chrUn	54683091	54694002
scaffold_719	10976	chrUn	54695003	54705978
scaffold_720	10864	chrUn	54706979	54717842
scaffold_721	10844	chrUn	54718843	54729686
scaffold_722	10837	chrUn	54730687	54741523
scaffold_723	10825	chrUn	54742524	54753348
scaffold_724	10918	chrUn	54754349	54765266
scaffold_725	10771	chrUn	54766267	54777037
scaffold_726	10763	chrUn	54778038	54788800
scaffold_727	10760	chrUn	54789801	54800560
scaffold_728	10845	chrUn	54801561	54812405
scaffold_729	10711	chrUn	54813406	54824116
scaffold_730	10705	chrUn	54825117	54835821
scaffold_731	10966	chrUn	54836822	54847787
scaffold_732	10686	chrUn	54848788	54859473
scaffold_733	10772	chrUn	54860474	54871245
scaffold_734	11698	chrUn	54872246	54883943
scaffold_735	10985	chrUn	54884944	54895928
scaffold_736	10632	chrUn	54896929	54907560
scaffold_737	10617	chrUn	54908561	54919177
scaffold_738	14295	chrUn	54920178	54934472
scaffold_739	10584	chrUn	54935473	54946056
scaffold_740	10578	chrUn	54947057	54957634
scaffold_741	10672	chrUn	54958635	54969306
scaffold_742	10474	chrUn	54970307	54980780
scaffold_743	10915	chrUn	54981781	54992695
scaffold_744	10471	chrUn	54993696	55004166
scaffold_745	10438	chrUn	55005167	55015604
scaffold_746	10434	chrUn	55016605	55027038
scaffold_747	10393	chrUn	55028039	55038431
scaffold_748	10384	chrUn	55039432	55049815
scaffold_749	10519	chrUn	55050816	55061334
scaffold_750	10342	chrUn	55062335	55072676
scaffold_751	10336	chrUn	55073677	55084012
scaffold_752	11086	chrUn	55085013	55096098
scaffold_753	10304	chrUn	55097099	55107402
scaffold_754	10300	chrUn	55108403	55118702
scaffold_755	10488	chrUn	55119703	55130190
scaffold_756	10247	chrUn	55131191	55141437
scaffold_757	10208	chrUn	55142438	55152645
scaffold_758	10201	chrUn	55153646	55163846
scaffold_759	10187	chrUn	55164847	55175033
scaffold_760	10150	chrUn	55176034	55186183
scaffold_761	10144	chrUn	55187184	55197327
scaffold_762	10128	chrUn	55198328	55208455
scaffold_763	10105	chrUn	55209456	55219560
scaffold_764	10089	chrUn	55220561	55230649
scaffold_765	10070	chrUn	55231650	55241719
scaffold_766	10062	chrUn	55242720	55252781
scaffold_767	10054	chrUn	55253782	55263835
scaffold_768	10038	chrUn	55264836	55274873
scaffold_769	10029	chrUn	55275874	55285902
scaffold_770	10029	chrUn	55286903	55296931
scaffold_771	12779	chrUn	55297932	55310710
scaffold_772	10009	chrUn	55311711	55321719
scaffold_773	10254	chrUn	55322720	55332973
scaffold_774	9987	chrUn	55333974	55343960
scaffold_775	9976	chrUn	55344961	55354936
scaffold_776	10133	chrUn	55355937	55366069
scaffold_777	10053	chrUn	55367070	55377122
scaffold_778	9923	chrUn	55378123	55388045
scaffold_779	13391	chrUn	55389046	55402436
scaffold_780	12545	chrUn	55403437	55415981
scaffold_781	9961	chrUn	55416982	55426942
scaffold_782	9841	chrUn	55427943	55437783
scaffold_783	9937	chrUn	55438784	55448720
scaffold_784	9814	chrUn	55449721	55459534
scaffold_785	9805	chrUn	55460535	55470339
scaffold_786	9999	chrUn	55471340	55481338
scaffold_787	11131	chrUn	55482339	55493469
scaffold_788	10615	chrUn	55494470	55505084
scaffold_789	10117	chrUn	55506085	55516201
scaffold_790	9750	chrUn	55517202	55526951
scaffold_791	9984	chrUn	55527952	55537935
scaffold_792	10195	chrUn	55538936	55549130
scaffold_793	9715	chrUn	55550131	55559845
scaffold_794	9715	chrUn	55560846	55570560
scaffold_795	11078	chrUn	55571561	55582638
scaffold_796	10740	chrUn	55583639	55594378
scaffold_797	9659	chrUn	55595379	55605037
scaffold_798	9640	chrUn	55606038	55615677
scaffold_799	10524	chrUn	55616678	55627201
scaffold_800	9639	chrUn	55628202	55637840
scaffold_801	9638	chrUn	55638841	55648478
scaffold_802	9935	chrUn	55649479	55659413
scaffold_803	9612	chrUn	55660414	55670025
scaffold_804	9603	chrUn	55671026	55680628
scaffold_805	9587	chrUn	55681629	55691215
scaffold_806	9579	chrUn	55692216	55701794
scaffold_807	12164	chrUn	55702795	55714958
scaffold_808	43262	chrUn	55715959	55759220
scaffold_809	11237	chrUn	55760221	55771457
scaffold_810	9550	chrUn	55772458	55782007
scaffold_811	10630	chrUn	55783008	55793637
scaffold_812	9546	chrUn	55794638	55804183
scaffold_813	9840	chrUn	55805184	55815023
scaffold_814	9502	chrUn	55816024	55825525
scaffold_815	10361	chrUn	55826526	55836886
scaffold_816	10948	chrUn	55837887	55848834
scaffold_817	9481	chrUn	55849835	55859315
scaffold_818	11227	chrUn	55860316	55871542
scaffold_819	9468	chrUn	55872543	55882010
scaffold_820	9455	chrUn	55883011	55892465
scaffold_821	9454	chrUn	55893466	55902919
scaffold_822	9445	chrUn	55903920	55913364
scaffold_823	9441	chrUn	55914365	55923805
scaffold_824	9957	chrUn	55924806	55934762
scaffold_825	9425	chrUn	55935763	55945187
scaffold_826	9400	chrUn	55946188	55955587
scaffold_827	9391	chrUn	55956588	55965978
scaffold_828	9389	chrUn	55966979	55976367
scaffold_829	9366	chrUn	55977368	55986733
scaffold_830	9359	chrUn	55987734	55997092
scaffold_831	9345	chrUn	55998093	56007437
scaffold_832	9526	chrUn	56008438	56017963
scaffold_833	9314	chrUn	56018964	56028277
scaffold_834	9280	chrUn	56029278	56038557
scaffold_835	9273	chrUn	56039558	56048830
scaffold_836	10045	chrUn	56049831	56059875
scaffold_837	9250	chrUn	56060876	56070125
scaffold_838	9218	chrUn	56071126	56080343
scaffold_839	9195	chrUn	56081344	56090538
scaffold_840	9155	chrUn	56091539	56100693
scaffold_841	10810	chrUn	56101694	56112503
scaffold_842	9138	chrUn	56113504	56122641
scaffold_843	9132	chrUn	56123642	56132773
scaffold_844	9124	chrUn	56133774	56142897
scaffold_845	9188	chrUn	56143898	56153085
scaffold_846	9249	chrUn	56154086	56163334
scaffold_847	9064	chrUn	56164335	56173398
scaffold_848	9158	chrUn	56174399	56183556
scaffold_849	9050	chrUn	56184557	56193606
scaffold_850	9044	chrUn	56194607	56203650
scaffold_851	9036	chrUn	56204651	56213686
scaffold_852	9030	chrUn	56214687	56223716
scaffold_853	9124	chrUn	56224717	56233840
scaffold_854	9657	chrUn	56234841	56244497
scaffold_855	9893	chrUn	56245498	56255390
scaffold_856	9399	chrUn	56256391	56265789
scaffold_857	8983	chrUn	56266790	56275772
scaffold_858	8980	chrUn	56276773	56285752
scaffold_859	8966	chrUn	56286753	56295718
scaffold_860	8965	chrUn	56296719	56305683
scaffold_861	8961	chrUn	56306684	56315644
scaffold_862	8954	chrUn	56316645	56325598
scaffold_863	8947	chrUn	56326599	56335545
scaffold_864	8925	chrUn	56336546	56345470
scaffold_865	8921	chrUn	56346471	56355391
scaffold_866	8921	chrUn	56356392	56365312
scaffold_867	8919	chrUn	56366313	56375231
scaffold_868	8898	chrUn	56376232	56385129
scaffold_869	10815	chrUn	56386130	56396944
scaffold_870	8878	chrUn	56397945	56406822
scaffold_871	9133	chrUn	56407823	56416955
scaffold_872	8863	chrUn	56417956	56426818
scaffold_873	12105	chrUn	56427819	56439923
scaffold_874	9126	chrUn	56440924	56450049
scaffold_875	8818	chrUn	56451050	56459867
scaffold_876	8803	chrUn	56460868	56469670
scaffold_877	8779	chrUn	56470671	56479449
scaffold_878	8766	chrUn	56480450	56489215
scaffold_879	8857	chrUn	56490216	56499072
scaffold_880	8993	chrUn	56500073	56509065
scaffold_881	8728	chrUn	56510066	56518793
scaffold_882	8710	chrUn	56519794	56528503
scaffold_883	8794	chrUn	56529504	56538297
scaffold_884	11686	chrUn	56539298	56550983
scaffold_885	8672	chrUn	56551984	56560655
scaffold_886	8656	chrUn	56561656	56570311
scaffold_887	8640	chrUn	56571312	56579951
scaffold_888	8618	chrUn	56580952	56589569
scaffold_889	8618	chrUn	56590570	56599187
scaffold_890	8611	chrUn	56600188	56608798
scaffold_891	8608	chrUn	56609799	56618406
scaffold_892	8591	chrUn	56619407	56627997
scaffold_893	8583	chrUn	56628998	56637580
scaffold_894	8562	chrUn	56638581	56647142
scaffold_895	8546	chrUn	56648143	56656688
scaffold_896	8724	chrUn	56657689	56666412
scaffold_897	8543	chrUn	56667413	56675955
scaffold_898	8541	chrUn	56676956	56685496
scaffold_899	8517	chrUn	56686497	56695013
scaffold_900	8510	chrUn	56696014	56704523
scaffold_901	8476	chrUn	56705524	56713999
scaffold_902	10654	chrUn	56715000	56725653
scaffold_903	8471	chrUn	56726654	56735124
scaffold_904	8455	chrUn	56736125	56744579
scaffold_905	8735	chrUn	56745580	56754314
scaffold_906	8450	chrUn	56755315	56763764
scaffold_907	8934	chrUn	56764765	56773698
scaffold_908	8434	chrUn	56774699	56783132
scaffold_909	10186	chrUn	56784133	56794318
scaffold_910	8673	chrUn	56795319	56803991
scaffold_911	8416	chrUn	56804992	56813407
scaffold_912	8415	chrUn	56814408	56822822
scaffold_913	8402	chrUn	56823823	56832224
scaffold_914	8565	chrUn	56833225	56841789
scaffold_915	8371	chrUn	56842790	56851160
scaffold_916	8331	chrUn	56852161	56860491
scaffold_917	8315	chrUn	56861492	56869806
scaffold_918	8414	chrUn	56870807	56879220
scaffold_919	8291	chrUn	56880221	56888511
scaffold_920	8375	chrUn	56889512	56897886
scaffold_921	8357	chrUn	56898887	56907243
scaffold_922	8247	chrUn	56908244	56916490
scaffold_923	8226	chrUn	56917491	56925716
scaffold_924	8423	chrUn	56926717	56935139
scaffold_925	8317	chrUn	56936140	56944456
scaffold_926	8214	chrUn	56945457	56953670
scaffold_927	8384	chrUn	56954671	56963054
scaffold_928	8191	chrUn	56964055	56972245
scaffold_929	8187	chrUn	56973246	56981432
scaffold_930	8167	chrUn	56982433	56990599
scaffold_931	8162	chrUn	56991600	56999761
scaffold_932	8384	chrUn	57000762	57009145
scaffold_933	8158	chrUn	57010146	57018303
scaffold_934	8149	chrUn	57019304	57027452
scaffold_935	8144	chrUn	57028453	57036596
scaffold_936	8142	chrUn	57037597	57045738
scaffold_937	8141	chrUn	57046739	57054879
scaffold_938	8140	chrUn	57055880	57064019
scaffold_939	8139	chrUn	57065020	57073158
scaffold_940	8135	chrUn	57074159	57082293
scaffold_941	8125	chrUn	57083294	57091418
scaffold_942	8114	chrUn	57092419	57100532
scaffold_943	8108	chrUn	57101533	57109640
scaffold_944	8099	chrUn	57110641	57118739
scaffold_945	8191	chrUn	57119740	57127930
scaffold_946	8177	chrUn	57128931	57137107
scaffold_947	8066	chrUn	57138108	57146173
scaffold_948	8053	chrUn	57147174	57155226
scaffold_949	8385	chrUn	57156227	57164611
scaffold_950	8047	chrUn	57165612	57173658
scaffold_951	8037	chrUn	57174659	57182695
scaffold_952	8016	chrUn	57183696	57191711
scaffold_953	8015	chrUn	57192712	57200726
scaffold_954	8008	chrUn	57201727	57209734
scaffold_955	7992	chrUn	57210735	57218726
scaffold_956	7982	chrUn	57219727	57227708
scaffold_957	7959	chrUn	57228709	57236667
scaffold_958	8164	chrUn	57237668	57245831
scaffold_959	7929	chrUn	57246832	57254760
scaffold_960	10119	chrUn	57255761	57265879
scaffold_961	7921	chrUn	57266880	57274800
scaffold_962	7919	chrUn	57275801	57283719
scaffold_963	7914	chrUn	57284720	57292633
scaffold_964	7911	chrUn	57293634	57301544
scaffold_965	7909	chrUn	57302545	57310453
scaffold_966	8049	chrUn	57311454	57319502
scaffold_967	7998	chrUn	57320503	57328500
scaffold_969	7889	chrUn	57329501	57337389
scaffold_970	7885	chrUn	57338390	57346274
scaffold_971	11397	chrUn	57347275	57358671
scaffold_972	7862	chrUn	57359672	57367533
scaffold_973	8484	chrUn	57368534	57377017
scaffold_974	8356	chrUn	57378018	57386373
scaffold_975	7850	chrUn	57387374	57395223
scaffold_976	9372	chrUn	57396224	57405595
scaffold_977	7836	chrUn	57406596	57414431
scaffold_978	7828	chrUn	57415432	57423259
scaffold_979	7818	chrUn	57424260	57432077
scaffold_980	7886	chrUn	57433078	57440963
scaffold_981	7884	chrUn	57441964	57449847
scaffold_982	8018	chrUn	57450848	57458865
scaffold_983	7831	chrUn	57459866	57467696
scaffold_984	7724	chrUn	57468697	57476420
scaffold_985	7720	chrUn	57477421	57485140
scaffold_986	7704	chrUn	57486141	57493844
scaffold_987	7672	chrUn	57494845	57502516
scaffold_988	7669	chrUn	57503517	57511185
scaffold_989	7658	chrUn	57512186	57519843
scaffold_990	7656	chrUn	57520844	57528499
scaffold_991	7656	chrUn	57529500	57537155
scaffold_992	10906	chrUn	57538156	57549061
scaffold_993	9105	chrUn	57550062	57559166
scaffold_994	7652	chrUn	57560167	57567818
scaffold_995	7649	chrUn	57568819	57576467
scaffold_996	7636	chrUn	57577468	57585103
scaffold_997	7631	chrUn	57586104	57593734
scaffold_998	7625	chrUn	57594735	57602359
scaffold_999	7603	chrUn	57603360	57610962
scaffold_1000	7599	chrUn	57611963	57619561
scaffold_1001	7597	chrUn	57620562	57628158
scaffold_1002	7594	chrUn	57629159	57636752
scaffold_1003	11251	chrUn	57637753	57649003
scaffold_1004	7579	chrUn	57650004	57657582
scaffold_1005	7567	chrUn	57658583	57666149
scaffold_1006	7544	chrUn	57667150	57674693
scaffold_1007	7539	chrUn	57675694	57683232
scaffold_1008	7537	chrUn	57684233	57691769
scaffold_1009	7519	chrUn	57692770	57700288
scaffold_1010	8962	chrUn	57701289	57710250
scaffold_1011	7508	chrUn	57711251	57718758
scaffold_1012	7483	chrUn	57719759	57727241
scaffold_1013	8338	chrUn	57728242	57736579
scaffold_1014	7465	chrUn	57737580	57745044
scaffold_1015	7462	chrUn	57746045	57753506
scaffold_1016	7460	chrUn	57754507	57761966
scaffold_1017	7941	chrUn	57762967	57770907
scaffold_1018	7440	chrUn	57771908	57779347
scaffold_1019	7438	chrUn	57780348	57787785
scaffold_1020	7425	chrUn	57788786	57796210
scaffold_1021	7424	chrUn	57797211	57804634
scaffold_1022	7424	chrUn	57805635	57813058
scaffold_1023	7406	chrUn	57814059	57821464
scaffold_1024	9073	chrUn	57822465	57831537
scaffold_1025	7502	chrUn	57832538	57840039
scaffold_1026	7536	chrUn	57841040	57848575
scaffold_1027	7492	chrUn	57849576	57857067
scaffold_1028	7484	chrUn	57858068	57865551
scaffold_1029	7371	chrUn	57866552	57873922
scaffold_1030	7371	chrUn	57874923	57882293
scaffold_1031	7365	chrUn	57883294	57890658
scaffold_1032	7363	chrUn	57891659	57899021
scaffold_1033	7357	chrUn	57900022	57907378
scaffold_1034	7357	chrUn	57908379	57915735
scaffold_1035	7353	chrUn	57916736	57924088
scaffold_1036	7341	chrUn	57925089	57932429
scaffold_1037	7339	chrUn	57933430	57940768
scaffold_1038	7318	chrUn	57941769	57949086
scaffold_1039	7317	chrUn	57950087	57957403
scaffold_1040	7302	chrUn	57958404	57965705
scaffold_1041	7301	chrUn	57966706	57974006
scaffold_1042	7400	chrUn	57975007	57982406
scaffold_1043	7299	chrUn	57983407	57990705
scaffold_1044	7626	chrUn	57991706	57999331
scaffold_1045	7298	chrUn	58000332	58007629
scaffold_1046	7280	chrUn	58008630	58015909
scaffold_1047	7272	chrUn	58016910	58024181
scaffold_1048	7270	chrUn	58025182	58032451
scaffold_1049	7266	chrUn	58033452	58040717
scaffold_1050	7263	chrUn	58041718	58048980
scaffold_1051	7261	chrUn	58049981	58057241
scaffold_1052	7258	chrUn	58058242	58065499
scaffold_1053	7253	chrUn	58066500	58073752
scaffold_1054	7243	chrUn	58074753	58081995
scaffold_1055	7234	chrUn	58082996	58090229
scaffold_1056	7219	chrUn	58091230	58098448
scaffold_1057	7317	chrUn	58099449	58106765
scaffold_1058	7207	chrUn	58107766	58114972
scaffold_1059	7305	chrUn	58115973	58123277
scaffold_1060	7203	chrUn	58124278	58131480
scaffold_1061	7203	chrUn	58132481	58139683
scaffold_1062	7200	chrUn	58140684	58147883
scaffold_1063	7197	chrUn	58148884	58156080
scaffold_1064	7197	chrUn	58157081	58164277
scaffold_1065	7446	chrUn	58165278	58172723
scaffold_1066	7189	chrUn	58173724	58180912
scaffold_1067	7184	chrUn	58181913	58189096
scaffold_1068	8521	chrUn	58190097	58198617
scaffold_1069	7167	chrUn	58199618	58206784
scaffold_1070	7158	chrUn	58207785	58214942
scaffold_1071	7143	chrUn	58215943	58223085
scaffold_1072	7137	chrUn	58224086	58231222
scaffold_1073	7128	chrUn	58232223	58239350
scaffold_1074	7113	chrUn	58240351	58247463
scaffold_1075	7204	chrUn	58248464	58255667
scaffold_1076	7095	chrUn	58256668	58263762
scaffold_1077	7470	chrUn	58264763	58272232
scaffold_1078	7091	chrUn	58273233	58280323
scaffold_1079	7085	chrUn	58281324	58288408
scaffold_1080	7068	chrUn	58289409	58296476
scaffold_1081	7055	chrUn	58297477	58304531
scaffold_1082	7669	chrUn	58305532	58313200
scaffold_1083	7510	chrUn	58314201	58321710
scaffold_1084	7039	chrUn	58322711	58329749
scaffold_1085	7037	chrUn	58330750	58337786
scaffold_1086	7025	chrUn	58338787	58345811
scaffold_1087	7022	chrUn	58346812	58353833
scaffold_1088	7018	chrUn	58354834	58361851
scaffold_1089	7113	chrUn	58362852	58369964
scaffold_1090	7010	chrUn	58370965	58377974
scaffold_1091	6998	chrUn	58378975	58385972
scaffold_1092	6989	chrUn	58386973	58393961
scaffold_1093	6960	chrUn	58394962	58401921
scaffold_1094	7282	chrUn	58402922	58410203
scaffold_1095	6939	chrUn	58411204	58418142
scaffold_1096	6936	chrUn	58419143	58426078
scaffold_1097	6931	chrUn	58427079	58434009
scaffold_1098	6918	chrUn	58435010	58441927
scaffold_1099	6915	chrUn	58442928	58449842
scaffold_1100	7615	chrUn	58450843	58458457
scaffold_1101	6903	chrUn	58459458	58466360
scaffold_1102	6859	chrUn	58467361	58474219
scaffold_1103	8144	chrUn	58475220	58483363
scaffold_1104	6846	chrUn	58484364	58491209
scaffold_1105	7156	chrUn	58492210	58499365
scaffold_1106	6837	chrUn	58500366	58507202
scaffold_1107	6835	chrUn	58508203	58515037
scaffold_1108	6824	chrUn	58516038	58522861
scaffold_1109	6916	chrUn	58523862	58530777
scaffold_1110	6932	chrUn	58531778	58538709
scaffold_1111	6802	chrUn	58539710	58546511
scaffold_1112	6794	chrUn	58547512	58554305
scaffold_1113	7407	chrUn	58555306	58562712
scaffold_1114	6776	chrUn	58563713	58570488
scaffold_1115	6759	chrUn	58571489	58578247
scaffold_1116	6736	chrUn	58579248	58585983
scaffold_1117	6828	chrUn	58586984	58593811
scaffold_1118	6707	chrUn	58594812	58601518
scaffold_1119	6901	chrUn	58602519	58609419
scaffold_1120	6970	chrUn	58610420	58617389
scaffold_1121	7369	chrUn	58618390	58625758
scaffold_1122	6675	chrUn	58626759	58633433
scaffold_1123	6672	chrUn	58634434	58641105
scaffold_1124	6664	chrUn	58642106	58648769
scaffold_1125	6756	chrUn	58649770	58656525
scaffold_1126	6645	chrUn	58657526	58664170
scaffold_1127	6613	chrUn	58665171	58671783
scaffold_1128	6611	chrUn	58672784	58679394
scaffold_1129	6710	chrUn	58680395	58687104
scaffold_1130	6606	chrUn	58688105	58694710
scaffold_1131	6701	chrUn	58695711	58702411
scaffold_1132	6580	chrUn	58703412	58709991
scaffold_1133	6574	chrUn	58710992	58717565
scaffold_1134	8108	chrUn	58718566	58726673
scaffold_1135	6859	chrUn	58727674	58734532
scaffold_1136	6668	chrUn	58735533	58742200
scaffold_1137	6552	chrUn	58743201	58749752
scaffold_1138	6620	chrUn	58750753	58757372
scaffold_1139	8147	chrUn	58758373	58766519
scaffold_1140	6491	chrUn	58767520	58774010
scaffold_1141	6487	chrUn	58775011	58781497
scaffold_1142	6487	chrUn	58782498	58788984
scaffold_1143	6483	chrUn	58789985	58796467
scaffold_1144	6472	chrUn	58797468	58803939
scaffold_1145	6456	chrUn	58804940	58811395
scaffold_1146	6453	chrUn	58812396	58818848
scaffold_1147	6689	chrUn	58819849	58826537
scaffold_1148	6444	chrUn	58827538	58833981
scaffold_1149	6438	chrUn	58834982	58841419
scaffold_1150	6435	chrUn	58842420	58848854
scaffold_1151	6432	chrUn	58849855	58856286
scaffold_1152	6422	chrUn	58857287	58863708
scaffold_1153	6421	chrUn	58864709	58871129
scaffold_1154	6418	chrUn	58872130	58878547
scaffold_1155	6418	chrUn	58879548	58885965
scaffold_1156	6409	chrUn	58886966	58893374
scaffold_1157	6405	chrUn	58894375	58900779
scaffold_1158	6395	chrUn	58901780	58908174
scaffold_1159	6788	chrUn	58909175	58915962
scaffold_1160	6365	chrUn	58916963	58923327
scaffold_1161	6543	chrUn	58924328	58930870
scaffold_1162	6338	chrUn	58931871	58938208
scaffold_1163	6336	chrUn	58939209	58945544
scaffold_1164	6331	chrUn	58946545	58952875
scaffold_1165	6826	chrUn	58953876	58960701
scaffold_1166	6324	chrUn	58961702	58968025
scaffold_1167	6324	chrUn	58969026	58975349
scaffold_1168	6320	chrUn	58976350	58982669
scaffold_1169	6707	chrUn	58983670	58990376
scaffold_1170	6306	chrUn	58991377	58997682
scaffold_1171	6305	chrUn	58998683	59004987
scaffold_1172	6865	chrUn	59005988	59012852
scaffold_1173	6303	chrUn	59013853	59020155
scaffold_1174	6792	chrUn	59021156	59027947
scaffold_1175	6299	chrUn	59028948	59035246
scaffold_1176	6279	chrUn	59036247	59042525
scaffold_1177	6584	chrUn	59043526	59050109
scaffold_1178	6258	chrUn	59051110	59057367
scaffold_1179	6357	chrUn	59058368	59064724
scaffold_1180	6251	chrUn	59065725	59071975
scaffold_1181	6249	chrUn	59072976	59079224
scaffold_1182	6229	chrUn	59080225	59086453
scaffold_1183	6324	chrUn	59087454	59093777
scaffold_1184	9039	chrUn	59094778	59103816
scaffold_1185	6194	chrUn	59104817	59111010
scaffold_1186	7508	chrUn	59112011	59119518
scaffold_1187	7766	chrUn	59120519	59128284
scaffold_1188	6168	chrUn	59129285	59135452
scaffold_1189	6167	chrUn	59136453	59142619
scaffold_1190	6149	chrUn	59143620	59149768
scaffold_1191	6137	chrUn	59150769	59156905
scaffold_1192	6134	chrUn	59157906	59164039
scaffold_1193	6428	chrUn	59165040	59171467
scaffold_1194	6346	chrUn	59172468	59178813
scaffold_1195	6118	chrUn	59179814	59185931
scaffold_1196	6263	chrUn	59186932	59193194
scaffold_1197	6344	chrUn	59194195	59200538
scaffold_1198	6089	chrUn	59201539	59207627
scaffold_1199	6079	chrUn	59208628	59214706
scaffold_1200	6064	chrUn	59215707	59221770
scaffold_1201	6871	chrUn	59222771	59229641
scaffold_1202	6054	chrUn	59230642	59236695
scaffold_1203	6053	chrUn	59237696	59243748
scaffold_1204	6051	chrUn	59244749	59250799
scaffold_1205	6042	chrUn	59251800	59257841
scaffold_1206	6039	chrUn	59258842	59264880
scaffold_1207	6402	chrUn	59265881	59272282
scaffold_1208	6034	chrUn	59273283	59279316
scaffold_1209	8296	chrUn	59280317	59288612
scaffold_1210	6005	chrUn	59289613	59295617
scaffold_1211	6004	chrUn	59296618	59302621
scaffold_1212	5994	chrUn	59303622	59309615
scaffold_1213	5993	chrUn	59310616	59316608
scaffold_1214	5989	chrUn	59317609	59323597
scaffold_1215	5981	chrUn	59324598	59330578
scaffold_1216	6102	chrUn	59331579	59337680
scaffold_1217	5976	chrUn	59338681	59344656
scaffold_1218	5969	chrUn	59345657	59351625
scaffold_1219	6172	chrUn	59352626	59358797
scaffold_1220	5938	chrUn	59359798	59365735
scaffold_1221	6384	chrUn	59366736	59373119
scaffold_1222	5920	chrUn	59374120	59380039
scaffold_1223	5918	chrUn	59381040	59386957
scaffold_1224	5917	chrUn	59387958	59393874
scaffold_1225	6052	chrUn	59394875	59400926
scaffold_1226	5909	chrUn	59401927	59407835
scaffold_1227	5901	chrUn	59408836	59414736
scaffold_1228	5884	chrUn	59415737	59421620
scaffold_1229	6375	chrUn	59422621	59428995
scaffold_1230	5969	chrUn	59429996	59435964
scaffold_1231	5866	chrUn	59436965	59442830
scaffold_1232	5962	chrUn	59443831	59449792
scaffold_1233	5852	chrUn	59450793	59456644
scaffold_1234	5989	chrUn	59457645	59463633
scaffold_1235	5837	chrUn	59464634	59470470
scaffold_1236	5833	chrUn	59471471	59477303
scaffold_1237	5827	chrUn	59478304	59484130
scaffold_1238	5825	chrUn	59485131	59490955
scaffold_1239	6275	chrUn	59491956	59498230
scaffold_1240	5796	chrUn	59499231	59505026
scaffold_1241	5792	chrUn	59506027	59511818
scaffold_1242	5789	chrUn	59512819	59518607
scaffold_1243	5935	chrUn	59519608	59525542
scaffold_1244	6044	chrUn	59526543	59532586
scaffold_1245	5764	chrUn	59533587	59539350
scaffold_1246	7326	chrUn	59540351	59547676
scaffold_1247	5757	chrUn	59548677	59554433
scaffold_1248	7734	chrUn	59555434	59563167
scaffold_1249	5728	chrUn	59564168	59569895
scaffold_1250	5724	chrUn	59570896	59576619
scaffold_1251	5713	chrUn	59577620	59583332
scaffold_1252	5973	chrUn	59584333	59590305
scaffold_1253	5702	chrUn	59591306	59597007
scaffold_1254	5815	chrUn	59598008	59603822
scaffold_1255	5693	chrUn	59604823	59610515
scaffold_1256	6033	chrUn	59611516	59617548
scaffold_1257	6641	chrUn	59618549	59625189
scaffold_1258	5679	chrUn	59626190	59631868
scaffold_1259	5677	chrUn	59632869	59638545
scaffold_1260	5665	chrUn	59639546	59645210
scaffold_1261	5664	chrUn	59646211	59651874
scaffold_1262	5659	chrUn	59652875	59658533
scaffold_1263	6271	chrUn	59659534	59665804
scaffold_1264	6169	chrUn	59666805	59672973
scaffold_1265	5739	chrUn	59673974	59679712
scaffold_1266	6073	chrUn	59680713	59686785
scaffold_1267	5751	chrUn	59687786	59693536
scaffold_1268	5608	chrUn	59694537	59700144
scaffold_1269	5599	chrUn	59701145	59706743
scaffold_1270	5586	chrUn	59707744	59713329
scaffold_1271	6114	chrUn	59714330	59720443
scaffold_1272	6155	chrUn	59721444	59727598
scaffold_1273	6115	chrUn	59728599	59734713
scaffold_1274	5792	chrUn	59735714	59741505
scaffold_1275	6407	chrUn	59742506	59748912
scaffold_1276	5558	chrUn	59749913	59755470
scaffold_1277	5556	chrUn	59756471	59762026
scaffold_1278	5552	chrUn	59763027	59768578
scaffold_1279	6328	chrUn	59769579	59775906
scaffold_1280	5732	chrUn	59776907	59782638
scaffold_1281	5614	chrUn	59783639	59789252
scaffold_1282	5510	chrUn	59790253	59795762
scaffold_1283	5505	chrUn	59796763	59802267
scaffold_1284	5776	chrUn	59803268	59809043
scaffold_1285	5504	chrUn	59810044	59815547
scaffold_1286	6378	chrUn	59816548	59822925
scaffold_1287	5497	chrUn	59823926	59829422
scaffold_1288	5594	chrUn	59830423	59836016
scaffold_1289	5489	chrUn	59837017	59842505
scaffold_1290	5487	chrUn	59843506	59848992
scaffold_1291	7078	chrUn	59849993	59857070
scaffold_1292	5485	chrUn	59858071	59863555
scaffold_1293	5484	chrUn	59864556	59870039
scaffold_1294	5581	chrUn	59871040	59876620
scaffold_1295	5817	chrUn	59877621	59883437
scaffold_1296	6668	chrUn	59884438	59891105
scaffold_1297	6445	chrUn	59892106	59898550
scaffold_1298	5451	chrUn	59899551	59905001
scaffold_1299	5589	chrUn	59906002	59911590
scaffold_1300	5434	chrUn	59912591	59918024
scaffold_1301	5433	chrUn	59919025	59924457
scaffold_1302	5529	chrUn	59925458	59930986
scaffold_1303	6285	chrUn	59931987	59938271
scaffold_1304	5510	chrUn	59939272	59944781
scaffold_1305	6365	chrUn	59945782	59952146
scaffold_1306	5380	chrUn	59953147	59958526
scaffold_1307	5379	chrUn	59959527	59964905
scaffold_1308	6532	chrUn	59965906	59972437
scaffold_1309	5766	chrUn	59973438	59979203
scaffold_1310	5358	chrUn	59980204	59985561
scaffold_1311	5344	chrUn	59986562	59991905
scaffold_1312	6504	chrUn	59992906	59999409
